"","rownames.filtered.","expres"
"RAP1GAP","RAP1GAP",6.99430891891892
"HNRNPR","HNRNPR",5.7720854954955
"RNU6-176P","RNU6-176P",4.97363054054054
"SNHG12","SNHG12",3.43450648648649
"TMEM200B","TMEM200B",3.69492981981982
"LAPTM5","LAPTM5",5.59412954954955
"RN7SL503P","RN7SL503P",5.93419576576577
"KIAA0319L","KIAA0319L",3.85706540540541
"PPT1","PPT1",4.80865684684685
"PRDX1","PRDX1",4.83249693693694
"CYP4Z2P","CYP4Z2P",4.77931756756757
"RNU6-1281P","RNU6-1281P",4.82519657657658
"NRDC","NRDC",4.31689504504504
"TMEM59","TMEM59",5.94666099099099
"MTCO2P34","MTCO2P34",4.01931783783784
"PLPP3","PLPP3",4.22678630630631
"FYB2","FYB2",5.19117630630631
"JAK1","JAK1",4.48686162162162
"SLC2A3P2","SLC2A3P2",5.88165540540541
"SERBP1","SERBP1",3.88620036036036
"RN7SL392P","RN7SL392P",4.18348036036036
"GNG12","GNG12",4.27936315315315
"RPS7P4","RPS7P4",5.31243279279279
"RNU6-1246P","RNU6-1246P",3.93181810810811
"CRYZ","CRYZ",4.5913354954955
"FUBP1","FUBP1",5.20437477477477
"RNA5SP22","RNA5SP22",5.09871423423423
"GBP1P1","GBP1P1",4.44631306306306
"WDR82P2","WDR82P2",8.3609427027027
"RPL7P23","RPL7P23",4.28623468468468
"RN7SKP270","RN7SKP270",5.28476009009009
"DPYD","DPYD",4.69564153153153
"MIR137HG","MIR137HG",4.79859747747748
"RPSAP15","RPSAP15",5.46376684684685
"OLFM3","OLFM3",5.68748063063063
"MTATP6P14","MTATP6P14",6.71666945945946
"VAV3","VAV3",3.39473354954955
"NRAS","NRAS",4.46589792792793
"SIKE1","SIKE1",7.51259585585586
"GDAP2","GDAP2",3.4984872972973
"RNVU1-15","RNVU1-15",6.74343387387387
"U4","U4",3.93918387387387
"GOLPH3L","GOLPH3L",4.45206468468468
"HORMAD1","HORMAD1",5.06600252252252
"RNU6-1309P","RNU6-1309P",4.23428945945946
"CDC42SE1","CDC42SE1",3.85913567567568
"MRPL9","MRPL9",3.54420459459459
"S100A10","S100A10",7.88858585585586
"RNU6-106P","RNU6-106P",4.47563990990991
"YY1AP1","YY1AP1",3.60703279279279
"CD1B","CD1B",5.55270045045045
"RGS5","RGS5",4.63976936936937
"RNA5SP62","RNA5SP62",4.80158225225225
"ADCY10","ADCY10",4.93455198198198
"RN7SL269P","RN7SL269P",4.64734666666667
"GLUL","GLUL",5.10712108108108
"TEDDM1","TEDDM1",5.59641081081081
"APOBEC4","APOBEC4",4.52234810810811
"EDEM3","EDEM3",4.07920369369369
"RNA5SP72","RNA5SP72",4.91789225225225
"IVNS1ABP","IVNS1ABP",4.92071765765766
"TPR","TPR",4.13575315315315
"SNORA70","SNORA70",5.99124900900901
"RN7SKP98","RN7SKP98",5.80855054054054
"RAB3GAP2","RAB3GAP2",3.6428836036036
"PARP1","PARP1",3.98703324324324
"PP2672","PP2672",5.12431756756757
"MTND5P19","MTND5P19",4.48745378378378
"ZMYND11","ZMYND11",4.16282504504504
"GTPBP4","GTPBP4",3.88231594594595
"PFKP","PFKP",3.50190630630631
"ATP5F1C","ATP5F1C",4.94354630630631
"PTER","PTER",3.51196504504505
"RNU2-18P","RNU2-18P",3.7592809009009
"VIM","VIM",4.69509765765766
"STAM","STAM",4.02000702702703
"PLXDC2","PLXDC2",5.04266027027027
"COMMD3-BMI1","COMMD3-BMI1",3.73832747747748
"RAB18","RAB18",4.21371576576577
"RNU6-908P","RNU6-908P",4.12861891891892
"MAP3K8","MAP3K8",3.58075189189189
"BMS1","BMS1",3.88381297297297
"ALOX5","ALOX5",4.24476468468468
"SHLD2P1","SHLD2P1",3.36259873873874
"RHEBP1","RHEBP1",4.14534432432432
"NCOA4","NCOA4",4.4229745045045
"RN7SL591P","RN7SL591P",4.36260288288288
"RNU6-543P","RNU6-543P",4.33859153153153
"SIRT1","SIRT1",4.22922720720721
"HNRNPH3","HNRNPH3",4.09011423423423
"STOX1","STOX1",4.75745108108108
"DDX50","DDX50",3.93446063063063
"ANAPC16","ANAPC16",3.98187162162162
"RNU6-805P","RNU6-805P",4.15021324324324
"MCU","MCU",3.5697963963964
"H2AZP5","H2AZP5",5.35079081081081
"SNORA71","SNORA71",5.96554567567568
"SFTPA2","SFTPA2",5.85916009009009
"LIPJ","LIPJ",4.85048045045045
"PCGF5","PCGF5",4.1045936036036
"RPL13AP5","RPL13AP5",4.58687810810811
"SLK","SLK",4.58257279279279
"SFR1","SFR1",5.1974854954955
"ADD3","ADD3",4.60408216216216
"PDCD4","PDCD4",4.46169630630631
"ACSL5","ACSL5",4.5975718018018
"NHLRC2","NHLRC2",4.21072333333333
"FAM160B1","FAM160B1",3.63226522522523
"PNLIP","PNLIP",4.88010405405405
"PNLIPRP1","PNLIPRP1",8.6013127027027
"ENO4","ENO4",6.39348540540541
"GLRX3","GLRX3",4.13900414414414
"PPP2R2D","PPP2R2D",3.96912333333333
"ANKRD16","ANKRD16",6.53457243243243
"RNU6-1075P","RNU6-1075P",3.7436218018018
"EBLN1","EBLN1",4.46595540540541
"PIP4K2A","PIP4K2A",3.99555351351351
"ABI1","ABI1",4.03977963963964
"YME1L1","YME1L1",4.96584504504504
"RN7SL825P","RN7SL825P",4.94256432432432
"KIF5B","KIF5B",5.28375396396396
"RNU6-1244P","RNU6-1244P",3.60716874774775
"RPL7AP53","RPL7AP53",6.09685486486486
"NAMPTP1","NAMPTP1",5.0872354954955
"RN7SL248P","RN7SL248P",4.97359
"MMP7","MMP7",5.35016666666667
"RNA5SP349","RNA5SP349",4.71943774774775
"TREH","TREH",5.62380801801802
"RPL23AP64","RPL23AP64",6.76118540540541
"BSX","BSX",7.9054427027027
"HSPA8","HSPA8",7.26105468468468
"RN7SKP121","RN7SKP121",4.64362864864865
"ZBTB44","ZBTB44",3.62981497297297
"SNX19","SNX19",3.96495702702703
"RPL23AP14","RPL23AP14",4.36483423423423
"OTUD4P1","OTUD4P1",5.4437809009009
"NTF3","NTF3",5.71096171171171
"CD9","CD9",6.22943972972973
"GAPDH","GAPDH",6.69823027027027
"C1S","C1S",5.38450846846847
"ZNF705A","ZNF705A",4.16127189189189
"BCL2L14","BCL2L14",5.98103396396396
"PTMAP9","PTMAP9",5.33893855855856
"EMP1","EMP1",4.61626162162162
"AEBP2","AEBP2",4.25154945945946
"RNU1-146P","RNU1-146P",4.65986369369369
"PDE3A","PDE3A",9.25080657657658
"PPFIBP1","PPFIBP1",4.12654837837838
"DNM1L","DNM1L",3.94577783783784
"RNA5SP361","RNA5SP361",4.73096603603604
"TMEM106C","TMEM106C",3.42385477477477
"TMBIM6","TMBIM6",6.3711263963964
"DIP2B","DIP2B",3.81290162162162
"METTL7A","METTL7A",3.41917036036036
"RNU6-1273P","RNU6-1273P",4.23707108108108
"LETMD1","LETMD1",3.63094414414414
"RNU6-199P","RNU6-199P",4.94030828828829
"DAZAP2","DAZAP2",5.7747463963964
"ARL2BPP2","ARL2BPP2",5.13031684684685
"COPZ1","COPZ1",4.95298072072072
"RNU6-1009P","RNU6-1009P",4.74428135135135
"MDM2","MDM2",3.8881218018018
"RNU7-4P","RNU7-4P",4.36828567567568
"TBC1D15","TBC1D15",4.75236342342342
"TMTC3","TMTC3",3.71578603603604
"RN7SL330P","RN7SL330P",4.3641363963964
"VEZT","VEZT",3.97512954954955
"MIR331","MIR331",4.7751836036036
"NEDD1","NEDD1",3.29073171171171
"MIR135A2","MIR135A2",3.7005372972973
"HSP90B1","HSP90B1",6.67241036036036
"RPL18A","RPL18A",6.71812216216216
"ATP2A2","ATP2A2",5.42100657657658
"ERP29","ERP29",3.87888936936937
"RN7SKP71","RN7SKP71",4.33603738738739
"SIRT4","SIRT4",5.68401378378378
"SNRNP35","SNRNP35",6.48001054054054
"MLF2","MLF2",4.30508756756757
"CD163","CD163",3.94956612612613
"M6PR","M6PR",4.66432342342342
"LINC00612","LINC00612",6.02922423423423
"A2M","A2M",6.3156072972973
"PZP","PZP",6.26870603603604
"YBX3","YBX3",4.37171405405405
"GPRC5D","GPRC5D",4.90809927927928
"GYS2","GYS2",5.68652927927928
"ABCC9","ABCC9",3.97001351351351
"KRAS","KRAS",3.87410117117117
"SLC38A2","SLC38A2",5.30692837837838
"LIMA1","LIMA1",3.97131468468468
"SLC11A2","SLC11A2",4.10400135135135
"KRT78","KRT78",6.29349252252252
"SPRYD3","SPRYD3",3.21008252252252
"CBX5","CBX5",4.11779774774775
"ITGA7","ITGA7",6.37182405405405
"ATP5F1B","ATP5F1B",6.62667045045045
"SNORD59A","SNORD59A",4.81072063063063
"RDH16","RDH16",5.28226117117117
"LRIG3","LRIG3",3.6504463963964
"ATP2B1","ATP2B1",4.74336702702703
"KERA","KERA",5.35116279279279
"BTG1","BTG1",5.28288837837838
"EEA1","EEA1",8.54013522522522
"NTN4","NTN4",3.9776754954955
"GNPTAB","GNPTAB",3.69082306306306
"NUP37","NUP37",3.52865612612613
"CORO1C","CORO1C",4.29212558558559
"HVCN1","HVCN1",6.86216720720721
"PPP1CC","PPP1CC",5.83112828828829
"RNU6-1088P","RNU6-1088P",7.4705509009009
"CDK2AP1","CDK2AP1",4.45315414414414
"SCARB1","SCARB1",7.67927432432432
"UBC","UBC",6.89073
"DHX37","DHX37",8.03837585585586
"WASF3","WASF3",7.50779513513513
"PAN3","PAN3",4.97318036036036
"RNU6-64P","RNU6-64P",5.09854513513513
"COG6","COG6",3.79027747747748
"PPIAP26","PPIAP26",5.28196855855856
"OLFM4","OLFM4",5.29553621621622
"RNY3P10","RNY3P10",4.04798054054054
"KLF5","KLF5",3.85353774774775
"RNY1P8","RNY1P8",4.43742279279279
"PTMAP5","PTMAP5",3.81186153153153
"SLITRK5","SLITRK5",6.90255927927928
"KRT18P27","KRT18P27",6.41557135135135
"RAP2A","RAP2A",3.79746018018018
"FARP1","FARP1",4.03289972972973
"UBAC2","UBAC2",9.02652009009009
"RN7SKP9","RN7SKP9",7.26617648648649
"ITGBL1","ITGBL1",5.17586252252252
"TPP2","TPP2",4.18158522522523
"ATP5MC1P5","ATP5MC1P5",4.82326873873874
"RPS7P10","RPS7P10",4.0820918018018
"PARP4","PARP4",4.08439351351351
"USP12","USP12",3.91915855855856
"HSPH1","HSPH1",4.78967189189189
"N4BP2L2","N4BP2L2",4.21097306306306
"RN7SKP1","RN7SKP1",4.27787252252252
"POSTN","POSTN",5.85415009009009
"LINC00598","LINC00598",6.10737576576577
"TSC22D1","TSC22D1",4.28981126126126
"TPT1","TPT1",7.21861306306306
"CPB2","CPB2",4.83323531531532
"POLR2KP2","POLR2KP2",4.63808846846847
"PCDH8","PCDH8",5.5564072972973
"RPL13AP25","RPL13AP25",4.62242423423423
"OR7E104P","OR7E104P",6.49051936936937
"HNRNPA3P5","HNRNPA3P5",5.86442198198198
"RNY4P27","RNY4P27",4.05998648648649
"DZIP1","DZIP1",3.31788702702703
"ARGLU1","ARGLU1",5.35765954954955
"PRECSIT","PRECSIT",4.97529072072072
"MMP14","MMP14",4.28288207207207
"BCL2L2-PABPN1","BCL2L2-PABPN1",4.96034630630631
"RN7SL660P","RN7SL660P",5.71960108108108
"RPL23AP71","RPL23AP71",6.21003648648649
"IGBP1P1","IGBP1P1",4.9053972972973
"DNAJC19P9","DNAJC19P9",3.5711454954955
"KLHDC2","KLHDC2",4.24167828828829
"RNU6-539P","RNU6-539P",4.73220063063063
"LGALS3","LGALS3",4.62303630630631
"JKAMP","JKAMP",3.97021918918919
"RHOJ","RHOJ",3.63231477477477
"FUT8","FUT8",4.28577045045045
"SRSF5","SRSF5",4.96879099099099
"ZC3H14","ZC3H14",3.74251828828829
"CPSF2","CPSF2",4.42566072072072
"AK7","AK7",5.7061054954955
"RNU6-790P","RNU6-790P",5.03191612612613
"RNU4-68P","RNU4-68P",5.06785486486486
"OR5AU1","OR5AU1",5.87704144144144
"OR4E1","OR4E1",6.10304981981982
"BAZ1A","BAZ1A",3.64413423423423
"FBXO33","FBXO33",6.77717225225225
"RNU6-297P","RNU6-297P",4.18471936936937
"NEMF","NEMF",9.56156252252252
"RN7SL3","RN7SL3",8.68915216216216
"MAP4K5","MAP4K5",4.69927126126126
"SAV1","SAV1",4.48484585585586
"PSMA3-AS1","PSMA3-AS1",4.00934
"DHRS7","DHRS7",3.77735621621622
"LINC02324","LINC02324",4.66239387387387
"PIGH","PIGH",3.54027657657658
"RNU6-921P","RNU6-921P",5.19973630630631
"SYNDIG1L","SYNDIG1L",6.1110554954955
"TMED10","TMED10",5.21711054054054
"DYNLL1P1","DYNLL1P1",5.33954495495496
"STON2","STON2",6.21454576576577
"SEL1L","SEL1L",4.48057189189189
"GALC","GALC",3.64179918918919
"FOXN3","FOXN3",3.67242279279279
"SERPINA2","SERPINA2",4.47088261261261
"RN7SL472P","RN7SL472P",5.5242209009009
"HSP90AA1","HSP90AA1",6.09563945945946
"IGHV3-47","IGHV3-47",5.22671621621622
"IGHV3-74","IGHV3-74",5.78507693693694
"APBA2","APBA2",6.32762675675676
"GREM1","GREM1",4.26581198198198
"EMC4","EMC4",5.07765864864865
"ANP32AP1","ANP32AP1",4.48360126126126
"TMCO5A","TMCO5A",4.65867882882883
"C15orf54","C15orf54",5.97111495495496
"THBS1","THBS1",7.58692288288288
"CHST14","CHST14",3.70799891891892
"CIBAR1P1","CIBAR1P1",5.9985409009009
"CHP1","CHP1",5.6283181981982
"RNU6-353P","RNU6-353P",5.35600594594595
"B2M","B2M",6.00173612612613
"SNORA41B","SNORA41B",4.23173846846847
"EID1","EID1",3.90606009009009
"MIR190A","MIR190A",4.71540297297297
"RPLP1","RPLP1",4.95154702702703
"RNA5SP399","RNA5SP399",3.97652585585586
"TMEM202","TMEM202",4.59805378378378
"RN7SKP217","RN7SKP217",4.2529827027027
"MORF4L1","MORF4L1",5.56440513513513
"AKAP13","AKAP13",5.15493783783784
"CHD2","CHD2",4.73912576576577
"RNU6-741P","RNU6-741P",7.47265297297297
"RPL5P1","RPL5P1",6.93275981981982
"TJP1","TJP1",4.83131774774775
"PPP1R14D","PPP1R14D",6.19011756756757
"RPS3AP49","RPS3AP49",6.24083279279279
"RNU6-953P","RNU6-953P",6.4645318018018
"GATM","GATM",5.58221675675676
"FBN1","FBN1",5.80652252252252
"SECISBP2L","SECISBP2L",3.97565387387387
"COPS2","COPS2",4.83003594594595
"CNOT6LP1","CNOT6LP1",4.38950738738739
"ADAM10","ADAM10",5.32606900900901
"MYO1E","MYO1E",5.06586045045045
"CSNK1G1","CSNK1G1",6.17573603603604
"DPP8","DPP8",3.47349234234234
"UACA","UACA",4.61231099099099
"THAP10","THAP10",6.08467072072072
"TBC1D2B","TBC1D2B",3.68672324324324
"ADAMTS7","ADAMTS7",3.33034333333333
"RNU6-415P","RNU6-415P",4.31890495495495
"RNU6-1339P","RNU6-1339P",3.80017468468468
"SEC11A","SEC11A",4.55121792792793
"RNU6-796P","RNU6-796P",3.98524396396396
"MESP1","MESP1",6.25865990990991
"CIB1","CIB1",4.78948027027027
"MPG","MPG",3.75984594594595
"HBA2","HBA2",4.02029900900901
"MTND6P33","MTND6P33",4.14405063063063
"RNA5SP425","RNA5SP425",5.30261423423423
"LONP2","LONP2",5.1559027027027
"MT3","MT3",7.89375972972973
"RNU4-58P","RNU4-58P",4.46031189189189
"SNTB2","SNTB2",3.52195558558559
"ZFP1","ZFP1",7.85318414414414
"PLCG2","PLCG2",8.16389324324324
"USP7","USP7",4.97486693693694
"GSPT1","GSPT1",4.85401522522523
"GPR139","GPR139",7.6748990990991
"CRYM","CRYM",6.13610243243243
"DNAJA2","DNAJA2",3.78179567567568
"CES5A","CES5A",5.18776279279279
"CNOT1","CNOT1",4.28344081081081
"CDH8","CDH8",5.44211387387387
"CDH11","CDH11",5.30561891891892
"TERB1","TERB1",4.94482828828829
"DERPC","DERPC",3.79170054054054
"NPIPB14P","NPIPB14P",4.17400279279279
"GLG1","GLG1",5.82360963963964
"BCAR1","BCAR1",7.99806306306306
"RNASEK","RNASEK",5.92071603603604
