Id,Label,Degree,Betweenness,Expression
6208,RPS14,126,15248.12,6.035831441
10399,RACK1,125,34162.35,7.698103694
1938,EEF2,105,8546.9,6.340411441
6189,RPS3A,105,7322.05,5.67086
10412,NSA2,41,7614.79,4.763905405
9564,BCAR1,39,13576.53,7.998063063
5336,PLCG2,33,10196.37,8.163893243
57647,DHX37,30,8813.78,8.038375856
65110,UPF3A,16,5674.84,8.634315676
23175,LPIN1,15,4632.43,9.135636847
2998,GYS2,12,2705.57,5.686529279
4131,MAP1B,9,2340.35,9.65810964
7316,UBC,7,3888.92,0
1496,CTNNA2,6,1745,6.832284144
7311,UBA52,6,1246.54,0
2197,FAU,5,4393.91,0
6233,RPS27A,5,748.81,0
64969,MRPS5,5,206.08,0
6205,RPS11,5,206.08,0
6210,RPS15A,5,206.08,0
6187,RPS2,5,206.08,0
6201,RPS7,5,206.08,0
6232,RPS27,5,206.08,0
6194,RPS6,5,206.08,0
6188,RPS3,5,206.08,0
6230,RPS25,5,206.08,0
6209,RPS15,5,206.08,0
6223,RPS19,5,206.08,0
55272,IMP3,4,5375.56,0
51065,RPS27L,4,186.16,0
6218,RPS17,4,186.16,0
6142,RPL18A,4,0,0
140801,RPL10L,4,0,0
6154,RPL26,4,0,0
6193,RPS5,4,0,0
51121,RPL26L1,4,0,0
6128,RPL6,4,0,0
6206,RPS12,4,0,0
11224,RPL35,4,0,0
6143,RPL19,4,0,0
6156,RPL30,4,0,0
51081,MRPS7,4,0,0
6155,RPL27,4,0,0
6228,RPS23,4,0,0
6132,RPL8,4,0,0
6137,RPL13,4,0,0
6217,RPS16,4,0,0
6192,RPS4Y1,4,0,0
25873,RPL36,4,0,0
6203,RPS9,4,0,0
6123,RPL3L,4,0,0
6138,RPL15,4,0,0
6124,RPL4,4,0,0
6122,RPL3,4,0,0
9045,RPL14,4,0,0
6144,RPL21,4,0,0
6133,RPL9,4,0,0
6134,RPL10,4,0,0
6175,RPLP0,4,0,0
6227,RPS21,4,0,0
6157,RPL27A,4,0,0
6129,RPL7,4,0,0
6229,RPS24,4,0,0
6152,RPL24,4,0,0
285855,RPL7L1,4,0,0
26135,SERBP1,4,0,0
6202,RPS8,4,0,0
6191,RPS4X,4,0,0
6231,RPS26,4,0,0
6135,RPL11,4,0,0
4736,RPL10A,4,0,0
6235,RPS29,4,0,0
23521,RPL13A,4,0,0
6130,RPL7A,4,0,0
6125,RPL5,4,0,0
9349,RPL23,4,0,0
6136,RPL12,4,0,0
6160,RPL31,4,0,0
6222,RPS18,4,0,0
6147,RPL23A,4,0,0
3921,RPSA,4,0,0
6204,RPS10,4,0,0
6224,RPS20,4,0,0
6207,RPS13,4,0,0
6141,RPL18,4,0,0
6139,RPL17,4,0,0
6234,RPS28,4,0,0
2534,FYN,3,12128.23,0
51602,NOP58,3,2889.83,0
9775,EIF4A3,3,1289.46,0
55916,NXT2,3,701,8.413477838
10528,NOP56,3,589.42,0
6169,RPL38,3,182.64,0
6159,RPL29,3,0,0
55173,MRPS10,3,0,0
51116,MRPS2,3,0,0
6183,MRPS12,3,0,0
51319,RSRC1,3,0,0
6181,RPLP2,3,0,0
6176,RPLP1,3,0,0
5339,PLEC,3,0,0
1915,EEF1A1,3,0,0
6166,RPL36AL,3,0,0
NA,,3,0,0
6173,RPL36A,3,0,0
6168,RPL37A,3,0,0
6161,RPL32,3,0,0
6165,RPL35A,3,0,0
387129,NPSR1,3,0,0
63931,MRPS14,3,0,0
5579,PRKCB,2,4074.33,0
6714,SRC,2,3783.77,0
25,ABL1,2,3783.77,0
998,CDC42,2,2076,0
10482,NXF1,2,1047,0
5578,PRKCA,2,790.1,0
6654,SOS1,2,700,0
3932,LCK,2,391.93,0
3055,HCK,2,391.93,0
4067,LYN,2,391.93,0
337867,UBAC2,2,351,9.02652009
400581,GRAPL,2,351,6.804004595
7314,UBB,2,339.96,0
705,BYSL,2,238.42,0
3692,EIF6,2,162.73,0
4116,MAGOH,2,160.14,0
2932,GSK3B,2,43.56,0
51154,MRTO4,2,23.43,0
26354,GNL3,2,23.43,0
54948,MRPL16,2,0,0
63875,MRPL17,2,0,0
11222,MRPL3,2,0,0
29088,MRPL15,2,0,0
51073,MRPL4,2,0,0
1973,EIF4A1,2,0,0
64965,MRPS9,2,0,0
65003,MRPL11,2,0,0
64963,MRPS11,2,0,0
1974,EIF4A2,2,0,0
9343,EFTUD2,2,0,0
65008,MRPL1,2,0,0
6146,RPL22,2,0,0
79590,MRPL24,2,0,0
64960,MRPS15,2,0,0
114987,WDR31,2,0,0
1964,EIF1AX,2,0,0
51069,MRPL2,2,0,0
29093,MRPL22,2,0,0
346606,MOGAT3,1,0,0
84649,DGAT2,1,0,0
5507,PPP1R3C,1,0,0
64422,ATG3,1,0,0
51187,RSL24D1,1,0,0
55759,WDR12,1,0,0
56902,PNO1,1,0,0
84365,NIFK,1,0,0
51388,NIP7,1,0,0
55651,NHP2,1,0,0
10594,PRPF8,1,0,0
1802,DPH2,1,0,0
6167,RPL37,1,0,0
29904,EEF2K,1,0,0
27339,PRPF19,1,0,0
51023,MRPS18C,1,0,0
79631,EFL1,1,0,0
84340,GFM2,1,0,0
6880,TAF9,1,0,0
6729,SRP54,1,0,0
28998,MRPL13,1,0,0
2091,FBL,1,0,0
65083,NOL6,1,0,0
10199,MPHOSPH10,1,0,0
11103,KRR1,1,0,0
55813,UTP6,1,0,0
9904,RBM19,1,0,0
8634,RTCA,1,0,0
27340,UTP20,1,0,0
10885,WDR3,1,0,0
55226,NAT10,1,0,0
92856,IMP4,1,0,0
5822,PWP2,1,0,0
9136,RRP9,1,0,0
84135,UTP15,1,0,0
8663,EIF3C,1,0,0
3646,EIF3E,1,0,0
2064,ERBB2,1,0,0
5290,PIK3CA,1,0,0
640,BLK,1,0,0
1956,EGFR,1,0,0
5294,PIK3CG,1,0,0
3791,KDR,1,0,0
5291,PIK3CB,1,0,0
5335,PLCG1,1,0,0
3937,LCP2,1,0,0
29760,BLNK,1,0,0
5880,RAC2,1,0,0
5289,PIK3C3,1,0,0
868,CBLB,1,0,0
695,BTK,1,0,0
5286,PIK3C2A,1,0,0
5288,PIK3C2G,1,0,0
26019,UPF2,1,0,0
22794,CASC3,1,0,0
23708,GSPT2,1,0,0
23381,SMG5,1,0,0
5976,UPF1,1,0,0
65109,UPF3B,1,0,0
2107,ETF1,1,0,0
10921,RNPS1,1,0,0
22916,NCBP2,1,0,0
9147,NEMF,1,0,9.561562523
23197,FAF2,1,0,0
4867,NPHP1,1,0,0
3636,INPPL1,1,0,0
2099,ESR1,1,0,0
10188,TNK2,1,0,0
3685,ITGAV,1,0,0
5781,PTPN11,1,0,0
64759,TNS3,1,0,0
1399,CRKL,1,0,0
2885,GRB2,1,0,0
23607,CD2AP,1,0,0
660,BMX,1,0,0
7205,TRIP6,1,0,0
7414,VCL,1,0,0
1793,DOCK1,1,0,0
79834,PEAK1,1,0,0
10044,SH2D3C,1,0,0
2185,PTK2B,1,0,0
5770,PTPN1,1,0,0
8440,NCK2,1,0,0
4323,MMP14,1,0,0
8412,BCAR3,1,0,0
2889,RAPGEF1,1,0,0
867,CBL,1,0,0
7791,ZYX,1,0,0
5782,PTPN12,1,0,0
5747,PTK2,1,0,0
5599,MAPK8,1,0,0
1398,CRK,1,0,0
7145,TNS1,1,0,0
5829,PXN,1,0,0
4690,NCK1,1,0,0
10045,SH2D3A,1,0,0
88,ACTN2,1,0,0
81,ACTN4,1,0,0
87,ACTN1,1,0,0
3728,JUP,1,0,0
1499,CTNNB1,1,0,0
3265,HRAS,1,0,0
7297,TYK2,1,0,0
1759,DNM1,1,0,0
5921,RASA1,1,0,0
5580,PRKCD,1,0,0
6772,STAT1,1,0,0
3069,HDLBP,1,0,0
8439,NSMAF,1,0,0
3091,HIF1A,1,0,0
7132,TNFRSF1A,1,0,0
3454,IFNAR1,1,0,0
5925,RB1,1,0,0
54331,GNG2,1,0,0
5587,PRKD1,1,0,0
9368,SLC9A3R1,1,0,0
26986,PABPC1,1,0,0
3455,IFNAR2,1,0,0
6170,RPL39,1,0,0
22927,HABP4,1,0,0
5581,PRKCE,1,0,0
55512,SMPD3,1,0,0
6921,TCEB1,1,0,0
3716,JAK1,1,0,0
6923,TCEB2,1,0,0
5144,PDE4D,1,0,0
3480,IGF1R,1,0,0
367,AR,1,0,0
116832,RPL39L,1,0,0
57085,AGTRAP,1,0,0
6655,SOS2,1,0,0
5465,PPARA,1,0,0
84803,GPAT3,1,0,0
5506,PPP1R3A,1,0,0
55326,AGPAT5,1,0,0
56894,AGPAT3,1,0,0
178,AGL,1,0,0
120892,LRRK2,1,0,0
5036,PA2G4,1,0,0
79660,PPP1R3B,1,0,0
253558,LCLAT1,1,0,0
5431,POLR2B,1,0,0
56895,AGPAT4,1,0,0
84128,WDR75,1,0,0
8602,NOP14,1,0,0
26155,NOC2L,1,0,0
23399,CTDNEP1,1,0,0
79039,DDX54,1,0,0
84916,UTP4,1,0,0
79050,NOC4L,1,0,0
3320,HSP90AA1,1,0,0
54552,GNL3L,1,0,0
11315,PARK7,1,0,0
2992,GYG1,1,0,0
23481,PES1,1,0,0
55153,SDAD1,1,0,0
23560,GTPBP4,1,0,0
9086,EIF1AY,1,0,0
9846,GAB2,1,0,0
55127,HEATR1,1,0,0
5287,PIK3C2B,1,0,0
8661,EIF3A,1,0,0
22984,PDCD11,1,0,0
23223,RRP12,1,0,0
10555,AGPAT2,1,0,0
55168,MRPS18A,1,0,0
6789,STK4,1,0,0
51021,MRPS16,1,0,0
29889,GNL2,1,0,0
51042,ZNF593,1,0,0
9790,BMS1,1,0,0
9277,WDR46,1,0,0
6850,SYK,1,0,0
5293,PIK3CD,1,0,0
8908,GYG2,1,0,0
7006,TEC,1,0,0
10514,MYBBP1A,1,0,0
10171,RCL1,1,0,0
10813,UTP14A,1,0,0
6164,RPL34,1,0,0
56000,NXF3,1,0,0
983,CDK1,1,0,0
27040,LAT,1,0,0
137964,GPAT4,1,0,0
5048,PAFAH1B1,1,0,0
30011,SH3KBP1,1,0,0
64968,MRPS6,1,0,0
4776,NFATC4,1,0,0
2935,GSPT1,1,0,0
3702,ITK,1,0,0
84154,RPF2,1,0,0
23049,SMG1,1,0,0
10969,EBNA1BP2,1,0,0
90673,PPP1R3E,1,0,0
54475,NLE1,1,0,0
4485,MST1,1,0,0
85476,GFM1,1,0,0
10189,ALYREF,1,0,0
6452,SH3BP2,1,0,0
27071,DAPP1,1,0,0
55998,NXF5,1,0,0
9724,UTP14C,1,0,0
930,CD19,1,0,0
10607,TBL3,1,0,0
7409,VAV1,1,0,0
